ref_area.label,sex.label,classif1.label,classif2.label,time,obs_value
GHA,Total,AGE_5YRBANDS_YGE15,,2024,6404.469
GHA,Total,AGE_5YRBANDS_Y15-19,,2024,3033.266
GHA,Total,AGE_5YRBANDS_Y20-24,,2024,3371.203
GHA,Male,AGE_5YRBANDS_YGE15,,2024,2858.736
GHA,Male,AGE_5YRBANDS_Y15-19,,2024,1388.441
GHA,Male,AGE_5YRBANDS_Y20-24,,2024,1470.295
GHA,Female,AGE_5YRBANDS_YGE15,,2024,3545.733
GHA,Female,AGE_5YRBANDS_Y15-19,,2024,1644.825
GHA,Female,AGE_5YRBANDS_Y20-24,,2024,1900.908
GHA,Total,AGE_5YRBANDS_YGE15,,2023,5633.61
GHA,Total,AGE_5YRBANDS_Y15-19,,2023,2581.372
GHA,Total,AGE_5YRBANDS_Y20-24,,2023,3052.237
GHA,Male,AGE_5YRBANDS_YGE15,,2023,2482.816
GHA,Male,AGE_5YRBANDS_Y15-19,,2023,1186.454
GHA,Male,AGE_5YRBANDS_Y20-24,,2023,1296.361
GHA,Female,AGE_5YRBANDS_YGE15,,2023,3150.794
GHA,Female,AGE_5YRBANDS_Y15-19,,2023,1394.918
GHA,Female,AGE_5YRBANDS_Y20-24,,2023,1755.876
GHA,Total,AGE_5YRBANDS_YGE15,,2022,1711.756
GHA,Total,AGE_5YRBANDS_Y15-19,,2022,791.265
GHA,Total,AGE_5YRBANDS_Y20-24,,2022,920.49
GHA,Male,AGE_5YRBANDS_YGE15,,2022,754.652
GHA,Male,AGE_5YRBANDS_Y15-19,,2022,372.647
GHA,Male,AGE_5YRBANDS_Y20-24,,2022,382.005
GHA,Female,AGE_5YRBANDS_YGE15,,2022,957.104
GHA,Female,AGE_5YRBANDS_Y15-19,,2022,418.619
GHA,Female,AGE_5YRBANDS_Y20-24,,2022,538.485
GHA,Total,AGE_5YRBANDS_YGE15,,2021,1423.24
GHA,Total,AGE_5YRBANDS_Y15-19,,2021,474.45
GHA,Total,AGE_5YRBANDS_Y20-24,,2021,948.79
GHA,Male,AGE_5YRBANDS_YGE15,,2021,570.76
GHA,Male,AGE_5YRBANDS_Y15-19,,2021,198.27
GHA,Male,AGE_5YRBANDS_Y20-24,,2021,372.49
GHA,Female,AGE_5YRBANDS_YGE15,,2021,852.48
GHA,Female,AGE_5YRBANDS_Y15-19,,2021,276.18
GHA,Female,AGE_5YRBANDS_Y20-24,,2021,576.3
